日期,城市,最高温度,最低温度,天气,湿度,风力
2024-01-01,北京,2,-8,晴,35,2级
2024-01-02,北京,3,-7,晴,38,3级
2024-01-03,北京,1,-9,多云,42,2级
2024-01-04,北京,-2,-11,小雪,55,4级
2024-01-05,北京,0,-8,阴,48,3级
2024-01-01,上海,10,3,晴,55,2级
2024-01-02,上海,11,4,多云,60,3级
2024-01-03,上海,9,2,小雨,75,4级
2024-01-04,上海,8,1,阴,68,2级
2024-01-05,上海,12,5,晴,50,2级
2024-01-01,广州,18,10,晴,65,2级
2024-01-02,广州,20,12,多云,70,3级
2024-01-03,广州,19,11,小雨,80,3级
2024-01-04,广州,17,9,阴,72,2级
2024-01-05,广州,21,13,晴,58,2级
2024-07-01,北京,35,25,晴,45,2级
2024-07-02,北京,33,24,多云,55,3级
2024-07-03,北京,31,23,雷阵雨,78,4级
2024-07-04,北京,34,24,晴,50,2级
2024-07-05,北京,36,26,晴,42,2级
2024-07-01,上海,33,26,多云,70,3级
2024-07-02,上海,32,25,小雨,82,4级
2024-07-03,上海,30,24,大雨,90,5级
2024-07-04,上海,31,24,阴,75,3级
2024-07-05,上海,34,27,晴,65,2级
